product_name,product_url,object,label
Sparx Men's Sc0162g Sneakers,https://m.media-amazon.com/images/I/71xWtLhH2GL._SX695_.jpg,['Shoe'],"['Footwear', 'Shoe', 'Product', 'Walking shoe', 'Grey', 'Sportswear', 'Sneakers', 'Skate shoe', 'Font', 'Outdoor shoe']"
Puma Womens Kendall WNS Running Shoe,https://m.media-amazon.com/images/I/61C+Y9zoAQL._SY695_.jpg,['Shoe'],"['Footwear', 'Shoe', 'Outdoor shoe', 'Walking shoe', 'Sportswear', 'Cleat', 'Sneakers', 'Font', 'Magenta', 'Skate shoe']"
Nivia Men's Combat 2.0 Basketball Shoes,https://m.media-amazon.com/images/I/71YG7EClYfL._SX679_.jpg,['Shoe'],"['Footwear', 'Shoe', 'Outdoor shoe', 'Walking shoe', 'Grey', 'Font', 'Sportswear', 'Sneakers', 'Athletic shoe', 'Electric blue']"
adidas Mens Amalgo M Running Shoe,https://m.media-amazon.com/images/I/81ATe15IyHL._SX695_.jpg,['Shoe'],"['Footwear', 'Shoe', 'Walking shoe', 'Outdoor shoe', 'Grey', 'Sneakers', 'Sportswear', 'Font', 'Athletic shoe', 'Pattern']"
Red Tape Casual Sneaker Shoes for Men,https://m.media-amazon.com/images/I/61OBcY37KXL._SY695_.jpg,['Shoe'],"['Footwear', 'Outdoor shoe', 'Walking shoe', 'Sportswear', 'Sneakers', 'Font', 'Athletic shoe', 'Cross training shoe', 'Electric blue', 'Running shoe']"
Bata Mens MaxUniform Dress Shoe,https://m.media-amazon.com/images/I/710+f7XX2FL._SY695_.jpg,['Shoe'],"['Brown', 'Shoe', 'Walking shoe', 'Sportswear', 'Sneakers', 'Font', 'Athletic shoe', 'Outdoor shoe', 'Electric blue', 'Logo']"
SPARX Mens Sx0675g Walking Shoe,https://m.media-amazon.com/images/I/71u2XOFXAIL._SX695_.jpg,['Shoe'],"['Footwear', 'Shoe', 'Outdoor shoe', 'Sneakers', 'Walking shoe', 'Grey', 'Sportswear', 'Font', 'Synthetic rubber', 'Electric blue']"
Campus Stack Sneakers for Men,https://m.media-amazon.com/images/I/61U0BBQYhrL._SY695_.jpg,['Shoe'],"['Footwear', 'Shoe', 'Outdoor shoe', 'Walking shoe', 'Cleat', 'Grey', 'Sneakers', 'Sportswear', 'Font', 'Athletic shoe']"
ADIDAS Mens Regular Fit M Sereno Bos T2 Jerseys,https://m.media-amazon.com/images/I/71IQc8cAIQL._SX569_.jpg,"['Person', 'Top', 'Top', 'Person']","['Hair', 'Outerwear', 'Arm', 'Shoulder', 'White', 'Neck', 'Human body', 'Sleeve', 'Standing', 'Gesture']"
adidas Men's Regular Fit M D2M Polo,https://m.media-amazon.com/images/I/71fKZrHSO9L._SX569_.jpg,"['Person', 'Top', 'Top', 'Person', 'Shirt']","['Joint', 'Arm', 'Shoulder', 'Jersey', 'Human body', 'Neck', 'Sleeve', 'Gesture', 'Collar', 'Elbow']"
Puma Men's Solid Regular Fit T-Shirt,https://m.media-amazon.com/images/I/71FAiQfnqSL._SX569_.jpg,"['Person', 'Top', 'Top', 'Person']","['Arm', 'Shoulder', 'White', 'Human body', 'Neck', 'Sleeve', 'Gesture', 'Elbow', 'Grey', 'Collar']"
Puma Men's Regular fit T-Shirt,https://m.media-amazon.com/images/I/61z4pzDQROL._SX569_.jpg,"['Outerwear', 'Person']","['Arm', 'Shoulder', 'Jersey', 'Azure', 'Human body', 'Sleeve', 'Waist', 'Gesture', 'Elbow', 'Collar']"
Puma Men's T-Shirt,https://m.media-amazon.com/images/I/71N-eWQzzjL._SX569_.jpg,"['Person', 'Top', 'Top', 'Person', 'Pants']","['Shoulder', 'White', 'Jersey', 'Human body', 'Neck', 'Sleeve', 'Dress shirt', 'Gesture', 'Waist', 'Elbow']"
Reebok Men's Regular Fit T-Shirt,https://m.media-amazon.com/images/I/51-FneXbwrL._SY741_.jpg,"['Person', 'Top', 'Person', 'Top', 'Pants']","['Polo shirt', 'Arm', 'Shoulder', 'Sports uniform', 'Jersey', 'Azure', 'Sleeve', 'Gesture', 'Sports jersey', 'Collar']"
Dennis Lingo Men's Cotton Buffalo Check Slim Fit Casual Shirt with Pocket,https://m.media-amazon.com/images/I/51oqHcH9mcL._SY741_.jpg,"['Top', 'Person', 'Person', 'Shirt']","['Face', 'Arm', 'Tartan', 'Shirt', 'Shoulder', 'Dress shirt', 'Neck', 'Human body', 'Sleeve', 'Jersey']"
Thomas Scott Men's Smart Slim Fit Band Collar Pure Cotton Denim Casual Overdyed Shirt,https://m.media-amazon.com/images/I/61a9DdTG-sL._SY741_.jpg,"['Top', 'Person', 'Person', 'Shirt', 'Jeans']","['Jeans', 'Shirt', 'Arm', 'Shoulder', 'Dress shirt', 'Dress', 'Jersey', 'Human body', 'Neck', 'Sleeve']"
Lymio Men T-Shirt,https://m.media-amazon.com/images/I/71x4rLhMkML._SY741_.jpg,"['Watch', 'Top', 'Pants', 'Clothing']","['Outerwear', 'Arm', 'Shoulder', 'Muscle', 'Product', 'Stomach', 'Dress shirt', 'Neck', 'Jersey', 'Sleeve']"
GRECIILOOKS Track Pant for Men,https://m.media-amazon.com/images/I/51rgGjt-lnL._SY741_.jpg,"['Pants', 'Shoe', 'Shoe']","['Shoe', 'Active pants', 'Sleeve', 'Dress shirt', 'Waist', 'Gesture', 'Khaki pants', 'Collar', 'Thigh', 'Knee']"
