product_name,product_url,Extracted_Details_from_Image
Puma Unisex-Adult Smashic Casual Shoe,https://m.media-amazon.com/images/I/51MiYR1te6L._SY695_.jpg,"Brand: Puma, Description: ['Shoe', 'Walking shoe', 'Grey', 'Sportswear', 'Sneakers', 'Font', 'Athletic shoe', 'Electric blue', 'Outdoor shoe', 'Carmine'], Text: PUMA, Object: ['Shoe']"
NIKE Womens W Revolution 7 Running Shoe,https://m.media-amazon.com/images/I/71cy1dbMh5L._SX695_.jpg,"Brand: Nike, Description: ['Footwear', 'Shoe', 'Product', 'Walking shoe', 'Sneakers', 'Grey', 'Sportswear', 'Font', 'Electric blue', 'Athletic shoe'], Text: None, Object: ['Shoe']"
Sparx Men's Sc0162g Sneakers,https://m.media-amazon.com/images/I/71xWtLhH2GL._SX695_.jpg,"Brand: Sparx, Description: ['Footwear', 'Shoe', 'Product', 'Walking shoe', 'Grey', 'Sportswear', 'Sneakers', 'Skate shoe', 'Font', 'Outdoor shoe'], Text: None, Object: ['Shoe']"
Puma Womens Kendall WNS Running Shoe,https://m.media-amazon.com/images/I/61C+Y9zoAQL._SY695_.jpg,"Brand: Puma, Description: ['Footwear', 'Shoe', 'Outdoor shoe', 'Walking shoe', 'Sportswear', 'Sneakers', 'Font', 'Magenta', 'Cleat', 'Skate shoe'], Text: None, Object: ['Shoe']"
Nivia Men's Combat 2.0 Basketball Shoes,https://m.media-amazon.com/images/I/71YG7EClYfL._SX679_.jpg,"Brand: Nivia Sports, Description: ['Outdoor shoe', 'Walking shoe', 'Font', 'Sneakers', 'Sportswear', 'Synthetic rubber', 'Athletic shoe', 'Electric blue', 'Boot', 'Carmine'], Text: AIN, Object: ['Shoe']"
adidas Mens Amalgo M Running Shoe,https://m.media-amazon.com/images/I/81ATe15IyHL._SX695_.jpg,"Brand: Adidas, Description: ['Footwear', 'Shoe', 'Walking shoe', 'Outdoor shoe', 'Grey', 'Sportswear', 'Sneakers', 'Font', 'Athletic shoe', 'Pattern'], Text: None, Object: ['Shoe']"
Red Tape Casual Sneaker Shoes for Men,https://m.media-amazon.com/images/I/61OBcY37KXL._SY695_.jpg,"Brand: Red Tape, Description: ['Footwear', 'Outdoor shoe', 'Walking shoe', 'Sportswear', 'Sneakers', 'Font', 'Athletic shoe', 'Cross training shoe', 'Electric blue', 'Running shoe'], Text: REDTAPE
CLASSIC, Object: ['Shoe']"
Bata Mens MaxUniform Dress Shoe,https://m.media-amazon.com/images/I/710+f7XX2FL._SY695_.jpg,"Brand: Bata, Description: ['Brown', 'Shoe', 'Walking shoe', 'Sportswear', 'Sneakers', 'Font', 'Athletic shoe', 'Outdoor shoe', 'Electric blue', 'Logo'], Text: mmm
Bata, Object: ['Shoe']"
SPARX Mens Sx0675g Walking Shoe,https://m.media-amazon.com/images/I/71u2XOFXAIL._SX695_.jpg,"Brand: Sparx, Description: ['Footwear', 'Shoe', 'Outdoor shoe', 'Sneakers', 'Walking shoe', 'Grey', 'Sportswear', 'Font', 'Synthetic rubber', 'Electric blue'], Text: parx
CUSHIONED foam, Object: ['Shoe']"
Campus Stack Sneakers for Men,https://m.media-amazon.com/images/I/61U0BBQYhrL._SY695_.jpg,"Brand: Campus, Description: ['Footwear', 'Shoe', 'Outdoor shoe', 'Walking shoe', 'Cleat', 'Grey', 'Sneakers', 'Sportswear', 'Font', 'Athletic shoe'], Text: None, Object: ['Shoe']"
ADIDAS Mens Regular Fit M Sereno Bos T2 Jerseys,https://m.media-amazon.com/images/I/71IQc8cAIQL._SX569_.jpg,"Brand: Adidas, Description: ['Hair', 'Outerwear', 'Arm', 'Shoulder', 'White', 'Neck', 'Human body', 'Sleeve', 'Standing', 'Gesture'], Text: adidas, Object: ['Person', 'Top', 'Top', 'Person']"
adidas Men's Regular Fit M D2M Polo,https://m.media-amazon.com/images/I/71fKZrHSO9L._SX569_.jpg,"Brand: Adidas, Description: ['Joint', 'Arm', 'Shoulder', 'Jersey', 'Human body', 'Neck', 'Sleeve', 'Gesture', 'Collar', 'Elbow'], Text: None, Object: ['Person', 'Top', 'Top', 'Person', 'Shirt']"
Puma Men's Solid Regular Fit T-Shirt,https://m.media-amazon.com/images/I/71FAiQfnqSL._SX569_.jpg,"Brand: Puma, Description: ['Arm', 'Shoulder', 'White', 'Human body', 'Neck', 'Sleeve', 'Gesture', 'Elbow', 'Grey', 'Collar'], Text: None, Object: ['Person', 'Top', 'Top', 'Person']"
Puma Men's Regular fit T-Shirt,https://m.media-amazon.com/images/I/61z4pzDQROL._SX569_.jpg,"Brand: Puma, Description: ['Arm', 'Shoulder', 'Jersey', 'Azure', 'Human body', 'Sleeve', 'Waist', 'Gesture', 'Elbow', 'Collar'], Text: None, Object: ['Outerwear', 'Person']"
Puma Men's T-Shirt,https://m.media-amazon.com/images/I/71N-eWQzzjL._SX569_.jpg,"Brand: Puma, Description: ['Shoulder', 'White', 'Jersey', 'Human body', 'Neck', 'Dress shirt', 'Sleeve', 'Gesture', 'Elbow', 'Grey'], Text: None, Object: ['Person', 'Top', 'Top', 'Person', 'Pants']"
Reebok Men's Regular Fit T-Shirt,https://m.media-amazon.com/images/I/51-FneXbwrL._SY741_.jpg,"Brand: Reebok, Description: ['Polo shirt', 'Arm', 'Shoulder', 'Sports uniform', 'Jersey', 'Azure', 'Sleeve', 'Gesture', 'Sports jersey', 'Collar'], Text: Reebok, Object: ['Person', 'Top', 'Person', 'Top', 'Pants']"
Dennis Lingo Men's Cotton Buffalo Check Slim Fit Casual Shirt with Pocket,https://m.media-amazon.com/images/I/51oqHcH9mcL._SY741_.jpg,"Brand: Dennis, Description: ['Face', 'Arm', 'Tartan', 'Shirt', 'Shoulder', 'Dress shirt', 'Neck', 'Human body', 'Sleeve', 'Jersey'], Text: о
о, Object: ['Top', 'Person', 'Person', 'Shirt']"
Thomas Scott Men's Smart Slim Fit Band Collar Pure Cotton Denim Casual Overdyed Shirt,https://m.media-amazon.com/images/I/61a9DdTG-sL._SY741_.jpg,"Brand: Thomas Scott, Description: ['Jeans', 'Shirt', 'Arm', 'Shoulder', 'Dress shirt', 'Dress', 'Jersey', 'Human body', 'Neck', 'Sleeve'], Text: Keep your head mo, Object: ['Top', 'Person', 'Person', 'Shirt', 'Jeans']"
Lymio Men T-Shirt,https://m.media-amazon.com/images/I/71x4rLhMkML._SY741_.jpg,"Brand: None, Description: ['Joint', 'Outerwear', 'Shoulder', 'Muscle', 'Product', 'Stomach', 'Dress shirt', 'Neck', 'Sleeve', 'Standing'], Text: None, Object: ['Watch', 'Top', 'Pants', 'Clothing']"
GRECIILOOKS Track Pant for Men,https://m.media-amazon.com/images/I/51rgGjt-lnL._SY741_.jpg,"Brand: None, Description: ['Shoe', 'Active pants', 'Sleeve', 'Waist', 'Gesture', 'Dress shirt', 'Khaki pants', 'Collar', 'Thigh', 'Knee'], Text: None, Object: ['Pants', 'Shoe', 'Shoe']"
U.S. Polo Assn. Men Signature Logo Pure Cotton,https://m.media-amazon.com/images/I/61fRzTKtwAL._SX569_.jpg,"Brand: U.S. Polo Assn., Description: ['Outerwear', 'White', 'Neck', 'Sleeve', 'Waist', 'Textile', 'Orange', 'Grey', 'Style', 'Knee'], Text: None, Object: ['Shorts', 'Person', 'Underpants']"
VIMAL JONNEY Men's Slim Track Pants,https://m.media-amazon.com/images/I/71aNV7oOkmL._SX679_.jpg,"Brand: None, Description: ['Joint', 'Leg', 'Active pants', 'Neck', 'Sleeve', 'Waist', 'Knee', 'Thigh', 'Gesture', 'Grey'], Text: None, Object: ['Pants', 'Pants', 'Pants', 'Person', 'Person', 'Person', 'Shoe', 'Shoe', 'Shoe']"
Fossil Decker Brown Watch,https://m.media-amazon.com/images/I/81DEF+TfCTL._SX679_.jpg,"Brand: Fossil, Description: ['Watch', 'Analog watch', 'Clock', 'Watch accessory', 'Font', 'Silver', 'Rectangle', 'Metal', 'Electric blue', 'Fashion accessory'], Text: 8-
TACHYMETER
100/
95
100
血
ˊ
500 450 400 350
FOSSIL
10 ATM
18
111
I
150 160 170
105
110 115 120
130, Object: ['Watch']"
Fastrack Casual Analog White Dial Men's Watch,https://m.media-amazon.com/images/I/51Z3J7uzNfL._SX679_.jpg,"Brand: Fastrack, Description: ['Watch', 'Analog watch', 'Watch accessory', 'Clock', 'Rectangle', 'Font', 'Metal', 'Electric blue', 'Brand', 'Fashion accessory'], Text: Ifastrack
50
3, Object: ['Watch']"
Sonata Men Leather Analog White Dial Watch,https://m.media-amazon.com/images/I/71QvcBxXXxL._SY741_.jpg,"Brand: Sonata, Description: ['Watch', 'Analog watch', 'White', 'Light', 'Product', 'Clock', 'Watch accessory', 'Rectangle', 'Font', 'Material property'], Text: 8
12
10
11
SONATA
503537
6
LO
5
2
4.
3, Object: ['Watch']"
Casio Men Stainless Steel Analog Black Dial Watch,https://m.media-amazon.com/images/I/61hpIjX15vL._SX679_.jpg,"Brand: Casio, Description: ['Watch', 'Analog watch', 'Clock', 'Watch accessory', 'Font', 'Silver', 'Metal', 'Fashion accessory', 'Nickel', 'Brand'], Text: 40
50
60
CASIO
WATER RESIST
50M
JAPAN
MOV'T
30
20
יוסי, Object: ['Watch']"
Titan Analog Silver Dial Gold Band Men's Stainless Steel Watch,https://m.media-amazon.com/images/I/81lfqanrciL._SY741_.jpg,"Brand: Titan Company, Description: ['Watch', 'Analog watch', 'Clock', 'Font', 'Material property', 'Watch accessory', 'Rectangle', 'Silver', 'Metal', 'Fashion accessory'], Text: in
n
3
TITAN
か
MIER 16
D
13
n
15
9
•
n
6
3
n
""
10
6
3
13
3
3
CIFTIR, Object: ['Watch']"
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling",https://m.media-amazon.com/images/I/61AHiYyu3ZL._SX679_.jpg,"Brand: Fire Boltt, Description: ['Watch', 'Gesture', 'Gadget', 'Smile', 'Communication Device', 'Font', 'Audio equipment', 'Auto part', 'Electronic device', 'Clock'], Text: FIRE BOLTT
12
35, Object: ['Watch', 'Person', 'Person']"
Milton Prudent 1100 Thermosteel 24 Hours Hot and Cold Water Bottle,https://m.media-amazon.com/images/I/71TLCsrjEnL._SX679_.jpg,"Brand: Tim Hortons, Description: ['Liquid', 'Bottle', 'Fluid', 'Drinkware', 'Plastic bottle', 'Glass bottle', 'Alcoholic beverage', 'Cylinder', 'Tints and shades', 'Electric blue'], Text: milton, Object: ['Bottle', 'Bottle']"
MILTON Aqua 500 Stainless Steel Water Bottle 500-ml Light-Pink,https://m.media-amazon.com/images/I/51AOvn+e1QL._SX679_.jpg,"Brand: Tim Hortons, Description: ['Liquid', 'Bottle', 'Fluid', 'Tints and shades', 'Plastic bottle', 'Magenta', 'Drink', 'Cylinder', 'Plastic', 'Peach'], Text: milton, Objects: None"
"Redmi 12 (Moonstone Silver,6GB RAM, 128GB Storage)",https://m.media-amazon.com/images/I/71ij5dqxbeL._SX679_.jpg,"Brand: Redmi, Description: ['Mobile phone', 'Communication Device', 'Portable communications device', 'Gadget', 'Gesture', 'Grey', 'Telephony', 'Font', 'Smartphone', 'Rectangle'], Text: Redmi
Redmi 12, Object: ['Mobile phone', 'Mobile phone']"
